,weekly_average,weekly_max,weekly_min
2014-week(13),455.9086793133333,479.02343370000006,438.37782382
2014-week(14),426.32506844600005,452.47466362,362.64713602
2014-week(15),499.18650981400003,527.85605542,458.22015327
2014-week(16),484.76882149600004,500.52266729,452.85184381
2014-week(17),447.7966964633333,461.10856353,440.59045544
2014-week(18),436.0358395933334,447.1570300366666,428.15396614
2014-week(19),442.98298607799995,449.02147354,437.72528219
2014-week(20),497.1593158973333,539.9563207766665,444.90019957
2014-week(21),585.7815105986666,626.0347465133333,569.95761838
2014-week(22),657.6124669906667,669.66083277,642.62224501
2014-week(23),620.5963912493334,650.75469248,587.15703225
2014-week(24),600.124900278,609.75703826,590.43798225
2014-week(25),584.6711983786666,598.6904010733333,564.17166661
2014-week(26),641.36948876,650.90506827,633.0384882100002
2014-week(27),624.8369223386667,632.7349340333334,616.65178587
2014-week(28),621.9544435646667,627.5905790433334,617.40600063
2014-week(29),612.570666334,622.06535556,596.85562793
2014-week(30),582.480770956,591.17291633,565.38507377
2014-week(31),587.6698379266667,590.7135013433334,584.57865324
2014-week(32),540.3235658726667,575.47175973,504.16158858
2014-week(33),498.76751376933333,518.49851084,464.30500254
2014-week(34),506.76818964533334,513.31158059,496.68938494666673
2014-week(35),481.8715828026667,490.52816548,476.64356975
2014-week(36),477.485252484,480.51415347,473.11393531
2014-week(37),444.7655158153333,475.77917573,400.79471998666673
2014-week(38),413.64946227133333,436.77716523,394.6664872466667
2014-week(39),371.52400519533336,388.74295439,335.58870937666666
2014-week(40),349.6626199653334,366.72598283666673,327.88489853
2014-week(41),390.3150198066666,399.71753499,381.27425346
2014-week(42),371.475719176,384.65792188,351.98097828
2014-week(43),342.82129589666664,354.61972416,329.2467156133334
2014-week(44),338.5539478426667,350.15241899333336,325.5583934
2014-week(45),394.0342096793333,424.47785831,366.50812181
2014-week(46),371.33868177733336,387.30549099,357.2931359066667
2014-week(47),374.03195563466664,377.69639694333335,368.91053388
2014-week(48),377.8675792226667,383.50225443,371.13838489
2014-week(49),352.57495055600003,363.11228501,347.73012788
2014-week(50),325.96531801333333,346.25983711,311.91492864
2014-week(51),326.2964723993333,335.81373347,319.26309951
2014-week(52),315.56675117333333,321.07254644,311.58114103
2015-week(00),301.45173433499997,315.16872872,287.73473995
2015-week(01),283.4549968766667,294.97561288,274.17158372
2015-week(02),217.59172042199998,268.654918,178.34854403
2015-week(03),226.46463367333337,245.10521647666667,211.71795568
2015-week(04),246.04872324666667,274.29682302,223.8796646033333
2015-week(05),227.14861332866667,238.31924075,217.51799762
2015-week(06),225.49073939066665,242.81132510333336,220.48339338
2015-week(07),239.82732465266668,244.16867351,234.39411297
2015-week(08),242.4702551773333,256.6163905766667,237.53607606
2015-week(09),276.6433393693333,282.13959096,273.48706119
2015-week(10),292.0193924326667,297.11684199,285.24814484333336
2015-week(11),272.0340286553333,291.70223947,257.13375048
2015-week(12),251.31477463200002,267.43031462,245.7279929
2015-week(13),250.25398338466667,256.95211050333336,244.64394968
2015-week(14),247.41565476066665,256.17899679,236.7344632633333
2015-week(15),224.36166613400002,228.99471476,219.59604949
2015-week(16),231.84853340266667,237.55941812,225.64489414
2015-week(17),231.28557583399999,236.65456712,226.46666004
2015-week(18),237.455565552,242.66533441,230.06390056
2015-week(19),239.42618441466666,242.85280137,237.1377477
2015-week(20),235.94433439733334,240.94171766666668,233.31309785
2015-week(21),237.38368173199996,238.52631562,234.16802623
2015-week(22),225.48442193066666,226.75118341,223.47786863
2015-week(23),230.59488030866663,232.9906683433333,229.35059224
2015-week(24),246.76685047266665,251.18103593,237.76556831
2015-week(25),245.71121013866667,248.8846441833333,241.76418907
2015-week(26),260.1373304033333,263.8409942366667,256.31153253
2015-week(27),274.78018448933335,296.34141216666666,266.98913463
2015-week(28),284.22609223533334,292.32220128,276.3366525166667
2015-week(29),280.4770271986667,290.56581810333336,276.89539692
